Update,PUBLICATION,,PRICE,DA,DR,GENRE,TAT,SPONSORED,INDEXED,DOFOLLOW,REGION / LOCATION,EROTIC,HEALTH,CBD,CRYPTO,GAMBLING
WRITING COST IS INCLUDED,,,,,,,,,,,,,,,,
,Bloomberg,,"$200,000",94,92,News,1 Month,Y,Y,Y,UNITED STATES,,Y,,Y,
,"Wall Street Journal (500,000 Impressions)",,"$170,000",93,92,Business,3-4 Weeks,Y,Y,N,UNITED STATES,,,,,
,Tech Crunch (Includes Social Post),,"$60,000",93,92,Lifestyle,2-3 Weeks,Y,Y,N,GLOBAL,,,,Y,
New,Variety + IG Social Post & Impressions,,"$35,000",93,91,Entertainment,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,"Rolling Stone + (400,000 Guranateed Impressions)",,"$25,000",92,90,Music,1-2 Weeks,Discreet,Y,N,UNITED STATES,,Y,Y,Y,
New,"Digital Trends + 250,000 Page Views",,"$25,000",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,The Hollywood Reporter,,"$23,000",93,90,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,Y,,
,"Variety + (400,000 Guranateed Impressions)",,"$20,000",93,91,Lifestyle ,1-2 Weeks,N,Y,N,GLOBAL,,,,,
,Coindesk,,"$20,000",91,90,Tech,1-2 Weeks,Y,Y,N,NEW YORK,,,,,
,Hypebeast (Australia),,"$13,000",88,86,News,1 Week,N,Y,Y,AUSTRALIA,,,,,
,Hypebae (Australia),,"$13,000",78,78,News,1 Week,Discrete,Y,Y,AUSTRALIA,,,,,
,Time.com,,"$13,000",94,92,News,2-4 Weeks,N,Y,N,UNITED STATES,,,,,
New,"Digital Trends + 100,000 Page Views",,"$13,000",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
New,Digital Trends + 1 Week Homepage,,"$13,000",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,"USA Today (250,000 Impressions)",,"$12,000",94,92,News,2-4 Weeks,N,Y,N,UNITED STATES,,,,,
,Vogue (Ukraine),,"$11,000",60,71,Lifestyle,1-2 Weeks,N,Y,Y,UKRAINE,,,,,
On Hold,Elle (UK),,"$10,000",91,90,Fashion,1-3 Weeks,Discrete,Y,N,UNITED KINGDOM,,,,,
,The Real Deal,,"$10,000",81,83,Real Estate,1-2 Weeks,Y,Y,N,UNITED STATES,,,,Y,
New,Digital Trends + IG Social Post,,"$10,000",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,OK Magazine (Homepage 4 Weeks),,"$9,000",81,75,Entertainment,1 Week,Discreet,Y,Y,GLOBAL,,Y,Y,Y,Y
,Radar Online (Homepage 4 Weeks),,"$9,000",81,79,Entertainment ,1-3 Days,N,Y,Y,LOS ANGELES,,Y,Y,Y,Y
New,"Digital Trends + 50,000 Page Views",,"$9,000",92,90,Tech,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Sourcing Journal,,"$8,000",74,78,News,1-2 Weeks,N,Y,Y,GLOBAL,,,,,
,Foot Wear News,,"$8,000",84,80,Fashion,1-2 Weeks,N,Y,Y,GLOBAL,,,,,
,WWD,,"$8,000",87,87,Fashion,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,"USA Today (100,000 Impressions)",,"$8,000",94,92,News,2-4 Weeks,N,Y,N,UNITED STATES,,,,Y,
,Robb Report (Italy),,"$8,000",20,30,News,2-3 Weeks,N,Y,Y,ITALY,,,,,
,Forbes (Italy),,"$7,000",56,77,News,2-3 Weeks,Y,Y,Y,ITALY,,,,,
,Forbes Australia,,"$7,000",48,70,Business,3-4 Weeks,N,Y,Y,AUSTRALIA,,,,,
,Paper Mag (DO-FOLLOW),,"$7,000",82,80,Entertainment,1-3 Days,N,Y,N,UNITED STATES,,Y,Y,Y,Y
